1	622	615	255	D
2	869	615	240	D
3	144	102	166	I
4	98	146	168	N
5	84	264	175	I
6	534	487	626	D
7	151	529	142	D
8	92	282	192	I
9	84	102	93	N
10	168	166	161	D
11	133	188	216	I
12	104	128	96	N
13	715	700	710	D
14	505	957	156	D
15	98	94	187	I
16	84	316	60	N
17	98	264	144	I
18	91	529	0	I
19	99	139	125	N
20	69	152	149	I
21	45	109	69	N
22	186	358	96	D
23	215	119	216	D
24	119	83	190	I
25	133	290	146	I
26	70	700	168	D
27	90	101	168	N
28	105	103	48	N
29	163	162	122	I
30	110	98	132	N
31	156	25	113	N
32	215	188	144	D
33	122	170	156	I
34	796	273	771	D
35	126	170	108	I
36	447	42	108	N
37	66	8	137	N
38	186	222	233	I
39	46	239	130	N
40	105	76	118	N
41	156	0	146	I
42	0	102	9	N
43	209	76	368	D
44	331	179	93	I
45	98	205	240	N
46	110	17	240	I
47	343	529	289	D
48	104	145	137	I
49	970	1000	1000	D
50	273	786	277	D
51	738	487	891	D
52	226	273	265	D
53	152	230	216	I
54	45	125	127	N
55	143	358	202	I
56	912	871	987	D
57	95	264	72	I
58	427	444	433	D
59	58	358	77	N
60	37	444	289	N
61	135	529	154	I
62	331	358	349	D
63	796	957	240	D
64	999	358	730	D
65	168	170	265	I
66	91	384	265	N
67	99	358	120	I
68	81	147	163	N
69	232	256	228	D
70	107	102	144	I
71	563	615	554	D
72	104	188	118	N
73	97	235	156	I
74	103	117	168	N
75	156	145	277	D
76	151	273	190	I
77	459	170	168	D
78	854	487	530	D
79	93	186	132	I
80	622	85	72	D
81	102	34	101	N
82	40	25	45	N
83	114	316	163	I
84	101	119	142	N
85	168	102	144	D
86	79	179	134	N
87	115	242	84	I
88	389	871	349	D
89	95	119	159	N
90	34	160	146	N
91	174	188	240	I
92	168	700	108	D
93	98	444	216	I
94	58	239	120	N
95	87	196	77	N
96	52	188	137	N
97	130	153	168	I
98	142	205	132	I
99	156	145	168	I
100	127	123	166	I
-1
